frame,frame_checksum,normal_unique_teps,normal_scoring_calls,normal_bound_checks,normal_pdb_lookups,normal_bound_cycles,compact_unique_teps,compact_scoring_calls,compact_bound_checks,compact_table_lookups,compact_allocations,cycles_p1,cycles_p2,cycles_p4,cycles_p8,cycles_p16,word_mismatch,metric_mismatch,tie_mismatch
208,3631052024434557855,523492,524567,42093,528320,81280,499356,500431,42093,3188744,38206,333113,222082,166624,138656,125718,0,0,0
209,11941522460368476046,265247,266322,40488,446589,68706,156284,157359,40488,3064014,38148,316477,207477,152843,125729,112678,0,0,0
210,6554022297751810779,415666,416741,40248,455156,70024,340242,341317,40231,3145775,38052,324205,211648,155197,127707,114731,0,0,0
211,15494444564763743065,262956,264031,38129,367952,56608,164324,165399,37518,3044653,37549,310707,197768,141608,113421,100567,0,0,0
212,16050511539404471018,532639,533714,42451,524550,80700,507756,508831,42451,3158464,38206,333254,221557,166194,138478,125138,0,0,0
213,11999199269000501034,436988,438063,41377,511654,78716,351433,352508,41377,3106597,38166,324175,215864,162537,135430,122706,0,0,0
214,4650961466378577745,533817,534892,42205,530140,81560,513367,514442,42205,3187396,38208,335607,223747,167248,139589,126437,0,0,0
215,11043087000247889422,144931,146006,33521,262509,40386,74866,75941,31202,2855549,34910,283536,175763,121082,93872,80907,0,0,0
216,2029444969724355239,241306,242381,37084,346541,53314,137694,138769,36142,2922419,37282,296897,190011,135846,109146,96214,0,0,0
217,3225973761914549284,17038,18110,15707,53235,8190,11749,12801,14274,1222424,9057,114861,64979,40261,28062,21993,0,0,0
218,16492979534452021254,142890,143965,32652,251732,38728,76007,77082,30157,2808565,33390,280167,171733,117674,91260,78727,0,0,0
219,1569666368328568087,423443,424518,41280,490386,75444,324421,325496,41280,3073726,38194,327032,216368,160434,132723,119870,0,0,0
220,16398644608846298513,482974,484049,42268,532766,81964,421703,422778,42268,3284925,38200,334413,223243,167597,139943,126833,0,0,0
221,13586422869136880805,313982,315057,38054,412581,63474,254804,255879,37368,3053018,37416,316806,203746,147515,120060,106684,0,0,0
222,15902998009659084682,449434,450509,41814,502138,77252,372872,373947,41814,3151728,38122,330776,218220,163041,135099,122042,0,0,0
223,9666295597485576539,520291,521366,42340,526890,81060,492798,493873,42340,3176198,38206,327480,219334,164892,138000,125090,0,0,0
224,7678739181936081838,279532,280607,39588,401622,61788,198541,199616,39535,3039571,38132,306298,198535,145405,118621,105699,0,0,0
225,9432103679564050389,34682,35757,24183,117598,18092,23688,24761,21892,1897158,17321,184255,107327,69355,50019,40671,0,0,0
226,3446449457893232143,268,268,4543,0,0,268,268,4543,0,0,0,0,0,0,0,0,0,0
227,15691641590656322157,311818,312893,40152,426699,65646,184423,185498,40120,2987301,37702,311592,203221,148898,122052,109144,0,0,0
228,9319254158117973237,262587,263662,39728,439569,67626,164647,165722,39567,2975581,37976,314269,205257,151655,124502,111670,0,0,0
229,16336949934302145361,253994,255069,39490,385138,59252,145113,146188,39305,2946075,37547,306873,197046,142770,116200,103265,0,0,0
230,3281250192952145694,12280,13338,14733,34866,5364,8710,9749,13098,916773,6022,86510,48279,29191,19424,14892,0,0,0
231,8924819577034230883,190975,192050,37649,339144,52176,100723,101798,36764,2928247,37548,297105,188794,134982,108376,95250,0,0,0
232,11915416379263865831,362318,363393,39301,396734,61036,265959,267034,39269,3047413,38072,319582,204743,147240,119015,105763,0,0,0
233,9653649054807012619,115680,116755,25610,139295,21430,70644,71719,23016,2223514,21565,216468,127417,82625,59915,49034,0,0,0
234,3138041299098866087,536101,537176,42801,544206,83724,511070,512145,42801,3159005,38204,336688,224807,169064,141451,128597,0,0,0
235,16753188377842897000,460193,461268,42104,499668,76872,392539,393614,42104,3102463,38144,328930,217696,161841,134260,121248,0,0,0
236,3328286086532902559,264441,265516,35977,307996,47384,143044,144119,34494,2891462,37228,302633,189026,132732,104893,91854,0,0,0
237,9275925105439090895,291,291,5495,0,0,291,291,5495,0,0,0,0,0,0,0,0,0,0
238,8193784623427691163,442381,443456,41580,481845,74130,360685,361760,41580,3125093,38176,329003,216377,160003,131993,118975,0,0,0
239,1768736439080339367,525202,526277,42403,525447,80838,496398,497473,42403,3242338,38206,337149,223694,167215,138971,125713,0,0,0
240,6674779126626003031,7551,8542,12296,21489,3306,4822,5767,9915,661971,3988,61644,34136,20369,13481,9933,0,0,0
241,2122288897910369108,488059,489134,42301,513240,78960,423390,424465,42301,3094266,38208,326629,217708,162987,135758,122992,0,0,0
242,10099787963837597941,23255,24330,17426,65728,10112,16188,17262,15910,1418424,10911,136893,77938,48410,33422,26575,0,0,0
243,8346121696495311219,419543,420618,41008,458731,70574,330487,331562,41008,3102784,37828,322246,211367,155865,128855,115535,0,0,0
244,1084359330546719196,18202,19275,15052,42224,6496,10681,11736,11670,1031141,7277,96986,54648,33418,22787,17750,0,0,0
245,8883599725883024343,330645,331720,39436,420732,64728,239833,240908,39293,3122287,37730,322233,207836,151122,122697,109478,0,0,0
246,4008051880738627984,505686,506761,42463,523913,80602,463625,464700,42463,3093073,38208,337820,223907,167336,139326,125479,0,0,0
247,15728654742979675289,274,274,5179,0,0,274,274,5179,0,0,0,0,0,0,0,0,0,0
248,15816593517690241029,354112,355187,40649,468182,72028,250009,251084,40649,3129936,38142,319890,210362,156427,129370,116401,0,0,0
249,2208128961106589188,312104,313179,39791,442936,68144,192785,193860,39772,3184918,37930,324404,211026,154478,126245,113192,0,0,0
250,4857330096602240005,406282,407357,41143,497939,76606,303459,304534,41143,3119616,38190,332124,219143,163103,134275,121464,0,0,0
251,4665043783636201592,419136,420211,41527,489710,75340,339763,340838,41527,3196547,38200,333868,219082,161941,133654,120676,0,0,0
252,15999134343165671571,445090,446165,41286,483834,74436,375908,376983,41286,3121077,38140,325552,214188,158491,131374,119245,0,0,0
253,7701222915981079604,164742,165817,33441,255580,39320,87991,89066,29648,2859970,34015,282887,173159,118643,91562,78765,0,0,0
254,13464825739442186896,49289,50354,25232,135954,20916,30483,31548,23818,2181290,20652,214178,125209,80878,58698,47937,0,0,0
255,3203300778566748,396550,397625,42179,517998,79692,311864,312939,42179,3196281,38204,333801,221605,165509,137797,125032,0,0,0
256,3770740330407608811,561728,562803,42843,539864,83056,551647,552722,42843,3186763,38206,335090,223447,168220,140842,127931,0,0,0
257,1641173139798643780,107486,108561,30926,247546,38084,56483,57558,28251,2723055,32206,275392,169278,115674,89390,76775,0,0,0
258,811613262287202028,322523,323598,41228,504179,77566,211992,213067,41228,3093317,38086,324837,215736,161529,135123,121883,0,0,0
259,14740668173646600279,239887,240962,40270,437970,67380,128576,129651,40138,3015617,37451,317528,206918,151316,124098,111309,0,0,0
260,17579750161965797524,368416,369491,40859,457418,70372,256514,257589,40859,3081479,38160,321711,210943,155860,128534,115200,0,0,0
261,5236397370953051573,405286,406361,41114,499967,76918,325631,326706,41114,3246948,38148,334171,220454,163584,135006,122202,0,0,0
262,11221765615242657808,467679,468754,41941,503880,77520,424535,425610,41941,3129015,38188,324507,215562,161317,134794,121940,0,0,0
263,12974079008421453896,447537,448612,42039,472277,72658,367558,368633,42039,3019968,38088,324016,213026,157602,130750,117415,0,0,0
264,1071668844152723214,348436,349511,40593,474097,72938,273204,274279,40593,3140613,37956,327920,214747,158578,131349,118525,0,0,0
265,13779499061222273634,340757,341832,39867,444912,68448,221797,222872,39798,3097449,38180,320557,209572,153535,125529,112765,0,0,0
266,15638715964544010036,243644,244719,40195,452504,69616,139307,140382,40096,3006750,37905,314016,206783,153111,126306,113620,0,0,0
267,3057382260254830443,490281,491356,42091,534391,82214,443367,444442,42091,3180559,38208,338033,224765,168351,140243,127091,0,0,0
268,8870918298014257224,425246,426321,41654,479232,73728,354352,355427,41654,3104848,38044,319633,211202,157641,130805,118003,0,0,0
269,18402386574753259472,200947,202022,34568,312065,48010,106234,107309,31890,2863277,35980,285872,180698,127759,101748,88638,0,0,0
270,15343315987897393952,5988,6858,17648,19422,2988,3860,4647,15645,613318,3708,56573,31342,18616,12298,9243,0,0,0
271,5538621780933029553,327049,328124,39914,411307,63278,237397,238472,39897,3088669,38068,323100,208037,150049,121361,108002,0,0,0
272,16521342504569641678,246733,247808,39560,430222,66188,149592,150667,39312,3051778,37995,319032,206686,151263,123860,111005,0,0,0
273,13522933415267144956,360205,361280,40968,457249,70346,259161,260236,40968,3143527,37624,322362,211469,155394,127482,114638,0,0,0
274,12496714450401978767,379240,380315,38736,413361,63594,297188,298263,38246,3097352,38022,317545,204724,148707,121009,108080,0,0,0
275,15262024628088753753,178497,179572,38012,402701,61954,88306,89381,36889,3019532,36873,307126,198879,143993,117094,103917,0,0,0
276,6817758444646984927,224557,225632,36089,313937,48298,133617,134692,34112,2932462,36502,304637,189945,132703,104966,91766,0,0,0
277,13154974048115677183,472154,473229,41998,520988,80152,407036,408111,41998,3105187,38198,335430,222405,166189,138536,125018,0,0,0
278,2603540668350167723,254571,255646,39937,436670,67180,155208,156283,39832,3088407,38130,323385,210141,153676,125100,111847,0,0,0
279,2713645569300799418,85531,86606,30171,193284,29736,49799,50874,26979,2534689,27234,253961,151917,101043,75629,63328,0,0,0
280,1397327276398224185,512803,513878,42383,514475,79150,477475,478550,42383,3192922,38208,330917,220264,164808,137286,124027,0,0,0
281,2766562979623221596,172,172,3209,0,0,172,172,3209,0,0,0,0,0,0,0,0,0,0
282,3740357793740193724,294237,295312,40545,457626,70404,183747,184822,40399,3094664,37413,320654,209855,154849,127181,113827,0,0,0
283,10845892320993320138,452066,453141,41129,477984,73536,406929,408004,41129,3103941,38067,327395,214829,159507,131535,118737,0,0,0
284,7620709682983035298,467317,468392,41755,514280,79120,400725,401800,41755,3072598,38208,324016,216644,162410,136329,123560,0,0,0
285,18420680668191183962,518426,519501,42584,530517,81618,483015,484090,42584,3271987,38158,345581,228651,170300,141392,126911,0,0,0
286,2325670906741872318,324312,325387,39801,458783,70582,197893,198968,39785,3077843,38154,317763,209035,154860,127754,114950,0,0,0
287,5357299776179764107,542437,543512,42759,542139,83406,517381,518456,42759,3191705,38208,331836,222518,167681,141194,128283,0,0,0
288,15309077097523702307,443731,444806,41442,510393,78522,350783,351858,41442,3124338,38198,329403,218616,163465,136368,123389,0,0,0
289,6687752009926031224,506791,507866,42378,537615,82710,468580,469655,42378,3166551,38206,342312,227195,169834,141270,128052,0,0,0
290,16741065566866901963,559691,560766,42706,542048,83392,549610,550685,42706,3172113,38206,334256,223656,168759,141005,128267,0,0,0
291,7248189349028393822,405555,406630,41137,457067,70318,313537,314612,41137,3192916,38178,326654,213203,156875,128839,115165,0,0,0
292,9704385120430894647,509223,510298,42562,525421,80834,473119,474194,42562,3213781,38198,339414,225005,167922,139683,126167,0,0,0
293,3844575062029217760,371562,372637,40733,464893,71522,266513,267588,40733,3056974,38152,318419,210146,155469,128401,115497,0,0,0
294,6776863253534648972,150176,151251,35941,314795,48430,70927,72002,33689,2828930,35861,290865,182648,129229,102478,89768,0,0,0
295,15558819834572950855,306120,307195,39949,426699,65646,201364,202439,39949,3136956,37522,319279,207166,151511,123679,110795,0,0,0
296,14098591494167229446,341123,342198,39340,408915,62910,221921,222996,39220,3101092,38124,315158,203256,147719,120072,107163,0,0,0
297,16684938710822976118,449140,450215,41445,498420,76680,382868,383943,41445,3185921,38186,334741,220143,163153,134646,121535,0,0,0
298,13863884631187765155,530241,531316,42291,531830,81820,504574,505649,42291,3171970,38198,333889,223229,167317,139664,126687,0,0,0
299,1143358531381596915,505316,506391,42363,527111,81094,464316,465391,42363,3144722,38208,329906,220170,165109,138300,125534,0,0,0
300,16983893493988057144,324786,325861,40908,453427,69758,211435,212510,40908,3130485,37844,323495,211315,155452,127841,114732,0,0,0
301,1724518686776498143,473359,474434,41751,522353,80362,404180,405255,41751,3092093,38208,328965,219464,165235,137713,124802,0,0,0
302,8538896548090692507,517168,518243,42140,530439,81606,487874,488949,42140,3056990,38200,342777,226617,169284,140698,127440,0,0,0
303,5414849337552919299,483986,485061,42270,512629,78866,435838,436913,42270,3250370,38208,338674,224005,166679,138420,124210,0,0,0
304,5753652621297339322,448441,449516,41528,509548,78392,363953,365028,41528,2985893,38194,326333,217053,162543,136061,123255,0,0,0
305,13959956551240721426,33061,34136,21660,82914,12756,20918,21993,19362,1631125,13494,159179,91471,56980,40697,32832,0,0,0
306,5951885681511492754,487353,488428,42480,514085,79090,433718,434793,42480,3152071,38190,334916,221595,165130,137795,123949,0,0,0
307,14096157529361104145,436924,437999,40911,480948,73992,395713,396788,40911,3143705,38096,326727,215159,159263,131858,118757,0,0,0
308,10995625614851936462,369172,370247,40854,444457,68378,237222,238297,40854,3112593,38142,315714,206930,152701,126120,113189,0,0,0
309,2482182704636653382,473850,474925,41728,513448,78992,413685,414760,41728,3171917,38204,331606,219631,164323,136844,123865,0,0,0
310,5441177358497796648,331993,333068,40995,489112,75248,218345,219420,40995,3149078,38057,333314,218981,161913,133980,120935,0,0,0
311,10594619803076971035,251708,252783,39865,441649,67946,167513,168588,39795,3082180,37494,328813,212965,154930,126113,112486,0,0,0
312,6087995028302807018,504910,505985,42398,523406,80524,465743,466818,42398,3112821,38202,326806,218087,164164,137318,124550,0,0,0
313,13157498791441590363,409796,410871,40821,441441,67914,328029,329104,40821,3134387,38144,318611,208104,153226,125503,112290,0,0,0
314,4140354337515438600,334937,336012,40144,434798,66892,217941,219016,40144,3043312,38192,316079,205892,151694,124810,111752,0,0,0
315,8790324440253869243,447044,448119,41290,496834,76436,375533,376608,41290,3089040,38170,321439,213662,160195,133200,120430,0,0,0
316,16033494607729759540,266173,267248,40462,446251,68654,159382,160457,40377,3128855,37968,321466,209761,154168,126791,113189,0,0,0
317,8752774043967305422,28714,29788,17641,66092,10168,17601,18674,15665,1382596,11009,134774,77002,47954,33577,26190,0,0,0
318,1617876536608997945,329965,331040,40159,409578,63012,248311,249386,40056,3067490,37858,320124,206468,149606,121674,108396,0,0,0
319,11783616977204820698,557121,558196,42858,543725,83650,546454,547529,42858,3234106,38204,345292,228987,171557,142640,129488,0,0,0
320,6559492945288675383,375715,376790,41228,483548,74392,269788,270863,41228,3196825,38184,329984,217024,160951,133187,119711,0,0,0
321,12305242939273486517,419380,420455,41716,473993,72922,341642,342717,41716,3183373,38174,326730,214918,158916,131168,118232,0,0,0
322,12908446579899175636,379663,380738,41375,503542,77468,260508,261583,41375,3114747,38196,329414,218122,162500,134746,121488,0,0,0
323,16901059007659922422,363699,364774,40674,471302,72508,241186,242261,40658,3096236,37928,328756,215805,159410,131175,118046,0,0,0
324,4922858970751481929,504696,505771,42183,507806,78124,473809,474884,42183,3096833,38208,328184,217474,162326,135475,122564,0,0,0
325,3362611848888048773,488500,489575,42292,516958,79532,429703,430778,42292,3204380,38208,336644,222906,165741,138028,124876,0,0,0
326,7122687477757991286,524159,525234,42550,537758,82732,498375,499450,42550,3177615,38200,335048,223693,168142,140470,127600,0,0,0
327,6923307926486974913,452133,453208,41795,494559,76086,379445,380520,41795,3209816,38202,334082,219423,162765,134175,120957,0,0,0
328,14543759518216842298,435499,436574,41534,495911,76294,343804,344879,41534,3196908,38206,328033,217153,161510,133539,120732,0,0,0
329,3526120906025846912,321764,322839,39309,426127,65558,223808,224883,39171,3146536,37874,323077,209282,152914,124052,111007,0,0,0
330,13105054135411926411,413409,414484,40986,482677,74258,308409,309484,40986,3130549,38192,323661,213685,158862,131826,118680,0,0,0
331,10428491862727895118,251534,252609,39658,424567,65318,151863,152938,39564,3087100,37986,316559,205523,149961,122941,109854,0,0,0
332,13804446188507661559,519559,520634,42563,530335,81590,489474,490549,42563,3053696,38194,323155,217187,164621,138246,125228,0,0,0
333,6396824164812931943,452248,453323,40807,452374,69596,380191,381266,40807,3097178,38142,318917,209543,153932,126819,113562,0,0,0
334,10148263954741301844,312671,313746,39588,440778,67812,201073,202148,39588,3092069,38176,321596,209379,153663,126502,113124,0,0,0
335,3477990544745926582,189076,190151,33867,284544,43776,107102,108177,31675,2818439,34008,283659,176536,123596,96806,84031,0,0,0
336,13231701053928365568,403451,404526,41214,495924,76296,311661,312736,41214,3081254,38204,321073,214135,160301,133178,120324,0,0,0
337,8844698145932292901,408805,409880,41194,485368,74672,301362,302437,41194,3088519,38040,335741,219483,161889,133325,119848,0,0,0
338,7161356552888137975,525637,526712,42368,529854,81516,496917,497992,42368,3136881,38204,335416,222479,167572,139606,126389,0,0,0
339,9014024295874841266,516314,517389,42565,535106,82324,487193,488268,42565,3173903,38208,334001,222506,167107,140023,126764,0,0,0
340,17895031192751868333,168447,169522,32824,250003,38462,98371,99446,30409,2778623,33807,276585,170404,117498,91063,77953,0,0,0
341,2340664882219996466,155984,157059,35356,287365,44210,75546,76621,32418,2816778,35241,280484,175958,122736,97330,84707,0,0,0
342,7116460092147018339,547781,548856,42595,542399,83446,528034,529109,42595,3252484,38208,342480,227736,170459,142171,128790,0,0,0
343,6425910566914326932,379357,380432,41120,474292,72968,271293,272368,41120,3182360,38072,327832,214692,158782,130232,117272,0,0,0
344,11395165012870455550,356425,357500,40764,450411,69294,241956,243031,40764,3112993,37927,319402,209351,154199,126260,113041,0,0,0
345,17247030730836401119,156951,158026,33472,300092,46168,72723,73798,31528,2869623,34742,291705,182106,127154,99840,87090,0,0,0
346,1608737169501613661,245851,246926,38808,333294,51276,127667,128742,38704,3033778,37926,301762,191128,136095,108204,95362,0,0,0
347,8420435434763283906,249042,250117,38984,402389,61906,144651,145726,38590,3007429,37106,309819,200462,145436,117784,104851,0,0,0
348,7751020590824769062,461679,462754,41906,515814,79356,392038,393113,41906,3097799,38127,328019,217852,163675,136960,123712,0,0,0
349,10076714415002727144,471111,472186,41773,510731,78574,416884,417959,41773,3173834,38138,331928,219939,163423,135918,122944,0,0,0
350,2316314060922452570,300983,302058,40217,451620,69480,179388,180463,40217,3135753,38015,318739,208784,153669,126394,113721,0,0,0
351,17346309421587384437,393578,394653,40969,469560,72240,279527,280602,40969,3112155,38188,324907,213458,157629,129922,117054,0,0,0
352,5618283887926634834,499951,501026,41735,508339,78206,454761,455836,41735,3157346,38206,336317,221883,165397,136807,123548,0,0,0
353,1741893628392994921,426003,427078,41071,477022,73388,351786,352861,41071,3202144,38096,325808,214381,158495,131155,118151,0,0,0
354,18413925335902144717,463267,464342,41587,494403,76062,407528,408603,41587,3193498,38134,329942,217532,162099,134348,121332,0,0,0
355,16005990868985157326,148283,149358,34868,312234,48036,76568,77643,32812,2878614,35585,292546,183584,128977,102407,89138,0,0,0
356,6465015771908170466,304534,305609,40719,436618,67172,179706,180781,40703,3053888,38030,317921,207464,152427,125156,111842,0,0,0
357,495767760681170683,679121,1083204,40979,466466,71764,679121,987880,40979,3113424,38162,324231,212736,156681,129307,116158,0,0,0
358,13530568621071155745,128427,129502,32978,245479,37766,61767,62842,30118,2822049,34380,285159,174466,118883,91790,78041,0,0,0
359,15911894628510580952,432278,433353,41088,491140,75560,359912,360987,41088,3179612,38146,332894,218784,162051,133816,120842,0,0,0
360,5936062968502369941,329406,330481,40440,436241,67114,212390,213465,40440,3023993,37870,317616,206904,151875,124761,112112,0,0,0
361,827533562775635043,513385,514460,42483,539097,82938,479908,480983,42483,3268468,38200,337153,224633,168776,141065,127807,0,0,0
362,1690680366174861028,437777,438852,41552,460603,70862,348505,349580,41552,3103335,38164,327014,213745,157759,129264,116160,0,0,0
363,14990777107357529582,406262,407337,41195,500019,76926,308562,309637,41195,3197294,38170,332307,219036,162809,135287,122231,0,0,0
364,10336128685871639787,119075,120150,34683,261833,40282,60251,61326,31180,2759937,33981,283093,174282,119880,92482,79724,0,0,0
365,15386045912607527958,400773,401848,41281,471263,72502,290054,291129,41281,3155038,37992,333411,217879,159973,131449,117623,0,0,0
366,10032110502621901227,184154,185229,39087,390975,60150,96799,97874,38939,3037790,37764,314356,201615,145554,117657,104897,0,0,0
367,10886039042393577701,468166,469241,41618,507754,78116,399912,400987,41618,3185812,38196,330645,218576,162868,135748,122981,0,0,0
368,4111006824975653637,410973,412048,41367,456521,70234,320157,321232,41367,3129961,38168,323914,212048,155847,128284,115071,0,0,0
369,12800907589272181664,40172,41246,24002,120575,18550,23351,24415,22504,1995757,18366,196983,114598,73963,52814,42925,0,0,0
370,1030511573090924673,494162,495237,42060,523679,80566,456047,457122,42060,3147100,38194,335327,222276,166459,139153,125896,0,0,0
371,11665036513581345583,358137,359212,41024,482560,74240,238651,239726,41024,3143010,37884,324479,214184,159021,131441,118354,0,0,0
372,6555245369104209958,472818,473893,42041,496873,76442,414591,415666,42041,3119049,38170,330012,218262,162448,134803,121748,0,0,0
373,9649092195353702410,187382,188457,39196,355342,54668,94670,95745,39039,2987884,36387,303521,193049,137602,110191,97547,0,0,0
374,8615633371099511029,183313,184388,35025,296712,45648,111106,112181,32657,2875293,34932,291340,181225,126454,99548,86503,0,0,0
375,7981025633021996910,314394,315469,35978,327873,50442,249797,250872,34482,2949722,35849,299243,188555,132825,105157,92208,0,0,0
376,9756468082363137711,460750,461825,42231,524810,80740,388263,389338,42231,3229394,38198,342844,226934,168827,139593,126074,0,0,0
377,1033546085767362993,68268,69343,25141,136396,20984,32771,33845,23340,2241833,21239,215172,126521,82525,60104,49220,0,0,0
378,17013198029483872255,493949,495024,41972,517504,79616,441874,442949,41972,3116087,38188,324653,216290,162534,136058,123248,0,0,0
379,7924636822148307953,480295,481370,41783,501566,77164,427114,428189,41783,3125799,38200,330135,218584,163076,135557,122500,0,0,0
380,3429177957817664556,531712,532787,42791,539916,83064,505765,506840,42791,3204039,38206,341542,227422,170590,141673,128904,0,0,0
381,8836541309807211882,679121,1246719,42856,542334,83436,679121,1237797,42856,3273878,38208,337126,224911,169389,141634,128780,0,0,0
382,194329892924134526,338225,339300,40906,498095,76630,245547,246622,40906,3087708,38176,324069,214444,159994,133560,120629,0,0,0
383,15927840561515873385,293349,294424,40624,407914,62756,173765,174840,40624,3085149,37155,316880,204024,147984,120011,107027,0,0,0
384,1714640194027356427,145219,146294,34900,272610,41940,83342,84417,33038,2750015,33390,283893,175219,121524,94818,81902,0,0,0
385,5571179394855000109,450165,451240,42144,523029,80466,378563,379638,42144,3163058,38194,330274,220128,164781,137703,124892,0,0,0
386,18446277066557159431,424661,425736,41384,487149,74946,322795,323870,41384,3143749,38178,330627,217388,161195,133596,119793,0,0,0
387,14676111944367553443,526817,527892,42463,517608,79632,497522,498597,42463,3224667,38204,330878,220390,164975,137220,124068,0,0,0
388,14517266541666166170,345298,346373,39730,434928,66912,229507,230582,39645,3099511,37908,324508,210155,153635,125498,111850,0,0,0
389,6007782047786219109,525651,526726,42538,543153,83562,500076,501151,42538,3188827,38196,335612,224205,168720,141247,127990,0,0,0
390,9858856608974879866,127703,128778,35231,301808,46432,72895,73970,33607,2820445,35156,289049,181090,126876,100023,87271,0,0,0
391,10134772219675911659,457677,458752,41894,514020,79080,381464,382539,41894,3163679,38208,333078,220833,164566,136811,123957,0,0,0
392,11336868354215367152,532119,533194,42312,520988,80152,511479,512554,42312,3192677,38204,337951,223910,167205,138656,125025,0,0,0
393,3410027770555825282,511595,512670,42553,538005,82770,465193,466268,42553,3170561,38208,337437,224597,168726,140758,127647,0,0,0
394,10379314241001012241,285600,286675,38957,423345,65130,150815,151890,38729,3016819,37990,320280,206964,150748,122867,109541,0,0,0
395,1560318013821850022,391987,393062,40604,478582,73628,291626,292701,40604,3203999,37778,326314,214494,158996,131390,118067,0,0,0
396,17344265790979834870,94449,95524,29729,211497,32538,46023,47098,27203,2595057,29718,258141,156248,105588,80570,67943,0,0,0
397,12769934649302990837,249907,250982,38444,345319,53126,152322,153397,38167,2838249,37402,297519,190379,136187,109009,96268,0,0,0
398,6398205110736970597,401245,402320,40943,461136,70944,302985,304060,40943,3076071,38067,317212,209572,155418,128107,115242,0,0,0
399,2137413210345420363,116373,117448,28435,192400,29600,63122,64197,26066,2511333,27026,244832,147842,99101,74687,62501,0,0,0
400,13069900385805486314,517901,518976,42351,525031,80774,486717,487792,42351,3175665,38196,337433,223785,166781,138577,125639,0,0,0
401,7685803444848007117,489805,490880,42416,516867,79518,437505,438580,42416,3123670,38194,320274,214372,161782,135895,123156,0,0,0
402,12354328562408914120,408983,410058,41589,496262,76348,300553,301628,41589,3131471,38170,332392,219359,162660,134912,121654,0,0,0
403,85486659316954491,239250,240325,38812,377351,58054,127731,128806,38421,2991675,37522,306525,196176,142051,115031,101906,0,0,0
404,4939214230347250310,478954,480029,42079,514631,79174,418403,419478,42079,3191515,38182,330830,219630,164412,136893,124024,0,0,0
405,18326939756265711023,417964,419039,40960,510367,78518,351618,352693,40960,3125976,38198,332454,220540,164599,136725,123385,0,0,0
406,14726782303244805428,467013,468088,42069,520572,80088,406302,407377,42069,3152241,38204,334738,222694,166743,138733,125926,0,0,0
407,6633970300822632282,352571,353646,40376,468104,72016,267645,268720,40288,3052914,38024,332167,216428,159257,130746,117537,0,0,0
408,12886322652531324118,561384,562459,42928,541489,83306,547119,548194,42928,3239837,38208,342948,228079,170182,141564,128183,0,0,0
409,8852455229358511103,363126,364201,39225,373763,57502,259725,260800,39055,3001680,38100,309007,198051,142344,114991,101739,0,0,0
410,18218687001777857725,60648,61716,25257,143065,22010,35030,36098,23835,2229389,21787,227802,133386,86240,62676,50709,0,0,0
411,5564210727052958579,350652,351727,41551,489814,75356,230050,231125,41551,3153188,38085,326426,215958,160498,133152,120108,0,0,0
412,9268306062013901773,154787,155862,36050,311142,47868,85677,86743,34567,3018280,35842,296453,185440,130895,103507,90425,0,0,0
413,7914704162904444320,444696,445771,40904,474279,72966,378368,379443,40904,3273601,38202,331483,217424,159465,131456,118304,0,0,0
414,12863108643027427748,430049,431124,41440,467337,71898,339101,340176,41440,3185007,38054,326113,213381,156777,129678,116621,0,0,0
415,12590165484947485333,288535,289610,39612,432445,66530,153447,154522,39286,3017322,38028,315966,206220,151249,124446,111349,0,0,0
416,2354886570752595358,487061,488136,41778,522249,80346,448268,449343,41778,3152703,38204,334910,222854,166464,137917,125219,0,0,0
417,8633022409243365598,387214,388289,41087,476606,73324,272360,273435,41087,3095089,38202,323723,213764,158088,130610,117757,0,0,0
418,6784217945924264218,223858,224933,34319,298558,45932,149610,150685,31992,2885709,35570,289291,180791,126442,99964,87023,0,0,0
419,636490959658542657,143577,144652,37235,296920,45680,63305,64380,36281,2775350,34183,289290,180387,126266,98942,86194,0,0,0
420,17217193322115751102,470312,471387,41052,499408,76832,422028,423103,41003,3096363,38134,330704,218323,162236,135176,122523,0,0,0
421,2100097450899767168,465107,466182,41370,508950,78300,393634,394709,41370,3154162,38196,331779,220158,163347,135970,123164,0,0,0
422,13583728563436965157,496157,497232,42149,519116,79864,453151,454226,42149,3157383,38204,342390,225740,167993,138723,125204,0,0,0
423,17683035363040016650,540331,541406,42749,546117,84018,509790,510865,42749,3250900,38208,339943,226954,170547,141954,128895,0,0,0
424,7102203555229228412,504775,505850,42474,528242,81268,460586,461661,42474,3201277,38204,331880,221541,166725,139415,126608,0,0,0
425,6982770138324009442,515456,516531,42446,533962,82148,476256,477331,42446,3172115,38208,329860,220360,165952,139316,126588,0,0,0
426,7701813474468396498,20564,21637,17623,73658,11332,13352,14423,15035,1440105,11785,137322,78851,49922,35438,28481,0,0,0
427,12934325797014543013,405915,406990,41142,460824,70896,294029,295104,41142,3120373,38126,325443,212711,156532,128306,115254,0,0,0
428,13533348533935223626,473254,474329,41990,506987,77998,420787,421862,41990,3138720,38198,329003,218097,162713,135405,122428,0,0,0
429,9232305410201898069,55796,56871,26040,163020,25080,32830,33905,24807,2348134,24180,232095,137641,90324,67507,55774,0,0,0
430,5927513165180261834,508827,509902,42351,526188,80952,465485,466560,42351,3100743,38204,330524,220459,166073,138591,125825,0,0,0
431,1564002562644355952,501682,502757,41919,507546,78084,466700,467775,41919,3149754,38170,335858,221911,165331,136742,123888,0,0,0
